date,Mom   
19831130,-0.29
19831201,0.15
19831202,0.42
19831205,0.1
19831206,-0.14
19831207,-0.06
19831208,0.17
19831209,0.19
19831212,-0.07
19831213,-0.13
19831214,-0.27
19831215,-0.22
19831216,0.07
19831219,0.2
19831220,-0.17
19831221,-0.32
19831222,0.16
19831223,-0.12
19831227,-0.08
19831228,0.19
19831229,-0.25
19831230,-0.1
19840103,-0.4
19840104,-0.76
19840105,-0.01
19840106,0.1
19840109,0.04
19840110,0.04
19840111,-0.14
19840112,0.18
19840113,-0.24
19840116,-0.23
19840117,0
19840118,-0.13
19840119,-0.27
19840120,-0.22
19840123,-0.26
19840124,-0.3
19840125,-0.05
19840126,0.04
19840127,0.04
19840130,-0.22
19840131,0.08
19840201,-0.29
19840202,-0.22
19840203,-0.1
19840206,-0.41
19840207,-0.07
19840208,0.02
19840209,0.17
19840210,0.23
19840213,0.2
19840214,0.43
19840215,0.32
19840216,0
19840217,0.12
19840221,-0.01
19840222,0.16
19840223,0.25
19840224,-0.55
19840227,0.36
19840228,0.61
19840229,-0.03
19840301,0.04
19840302,-0.08
19840305,-0.12
19840306,0.13
19840307,0.02
19840308,0.08
19840309,0.1
19840312,-0.32
19840313,-0.6
19840314,-0.17
19840315,0.1
19840316,-0.05
19840319,0.41
19840320,-0.04
19840321,0.46
19840322,0.56
19840323,0.47
19840326,0.05
19840327,0.27
19840328,-0.39
19840329,-0.17
19840330,0.3
19840402,-0.06
19840403,0.37
19840404,0.37
19840405,0.44
19840406,0.18
19840409,0.16
19840410,0.24
19840411,0.34
19840412,-0.26
19840413,-0.07
19840416,-0.01
19840417,-0.17
19840418,0.1
19840419,0.08
19840423,0.35
19840424,0.06
19840425,0
19840426,-0.48
19840427,-0.11
19840430,-0.02
19840501,-1
19840502,-0.76
19840503,-0.06
19840504,0.65
19840507,-0.15
19840508,-0.01
19840509,0.31
19840510,0.28
19840511,0.44
19840514,0.24
19840515,0.15
19840516,0.38
19840517,0.72
19840518,0.51
19840521,0.33
19840522,0.56
19840523,-0.02
19840524,0.48
19840525,-0.11
19840529,0.71
19840530,-0.35
19840531,-0.4
19840601,-0.63
19840604,-0.63
19840605,0.08
19840606,0.22
19840607,0.33
19840608,0.13
19840611,0.8
19840612,0.27
19840613,-0.15
19840614,0.13
19840615,-0.19
19840618,-0.69
19840619,-0.27
19840620,-0.39
19840621,-0.26
19840622,-0.19
19840625,0.11
19840626,0.66
19840627,0.54
19840628,-0.14
19840629,0.09
19840702,0.54
19840703,-0.07
19840705,0.56
19840706,0.4
19840709,-0.06
19840710,-0.03
19840711,0.46
19840712,0.38
19840713,0.36
19840716,0.56
19840717,-0.06
19840718,0.57
19840719,0.75
19840720,0.76
19840723,0.53
19840724,0.29
19840725,0.1
19840726,-0.53
19840727,-0.98
19840730,0
19840731,-0.35
19840801,-1.27
19840802,-1.86
19840803,-2.69
19840806,-0.4
19840807,0.71
19840808,0.64
19840809,-0.9
19840810,-0.31
19840813,0.1
19840814,0.44
19840815,0.56
19840816,-0.13
19840817,0.03
19840820,0.28
19840821,-0.71
19840822,0.12
19840823,0.11
19840824,-0.24
19840827,0.41
19840828,-0.47
19840829,-0.12
19840830,-0.11
19840831,-0.01
19840904,0.56
19840905,0.41
19840906,0.04
19840907,0.33
19840910,0.23
19840911,-0.09
19840912,0.24
19840913,-0.48
19840914,-0.4
19840917,0.53
19840918,0.44
19840919,0.45
19840920,-0.01
19840921,-0.05
19840924,0.19
19840925,0.4
19840926,0.13
19840927,0.07
19840928,0.26
19841001,0.14
19841002,0.34
19841003,0.23
19841004,-0.12
19841005,0.1
19841008,0.19
19841009,0.44
19841010,-0.03
19841011,0.16
19841012,0.05
19841015,-0.04
19841016,0.33
19841017,0.06
19841018,-0.79
19841019,0.15
19841022,0.1
19841023,0.35
19841024,0.07
19841025,0.6
19841026,0.55
19841029,0.03
19841030,-0.13
19841031,0.38
19841101,0.04
19841102,-0.01
19841105,-0.44
19841106,-0.46
19841107,0.25
19841108,-0.01
19841109,0.17
19841112,0.05
19841113,0.46
19841114,0.29
19841115,0.72
19841116,0.27
19841119,0.29
19841120,0
19841121,0.01
19841123,-0.53
19841126,0.3
19841127,0.24
19841128,0.54
19841129,0.32
19841130,0.09
19841203,0.67
19841204,-0.03
19841205,0.59
19841206,0.08
19841207,0.12
19841210,0.1
19841211,-0.12
19841212,0.01
19841213,0.39
19841214,-0.22
19841217,0.4
19841218,-1.02
19841219,-0.16
19841220,0.76
19841221,0.22
19841224,-0.69
19841226,0.05
19841227,0.28
19841228,-0.09
19841231,-0.28
19850102,-0.2
19850103,-0.15
19850104,-0.18
19850107,-0.27
19850108,-0.02
19850109,-0.47
19850110,-1.23
19850111,-0.16
19850114,-1.16
19850115,-0.27
19850116,-0.33
19850117,0
19850118,-0.29
19850121,-1.03
19850122,0.28
19850123,-0.15
19850124,-0.02
19850125,-0.25
19850128,-0.09
19850129,-0.28
19850130,-0.16
19850131,-0.22
19850201,0.11
19850204,-0.15
19850205,0.16
19850206,-0.43
19850207,-0.28
19850208,-0.1
19850211,-0.06
19850212,0.18
19850213,-0.11
19850214,0.62
19850215,0.29
19850219,0.31
19850220,-0.2
19850221,-0.06
19850222,-0.08
19850225,0.03
19850226,0.21
19850227,0.45
19850228,-0.03
19850301,0.37
19850304,0.27
19850305,0.13
19850306,-0.05
19850307,0.08
19850308,0.04
19850311,0.1
19850312,0.29
19850313,0.18
19850314,0.21
19850315,0.21
19850318,0.11
19850319,-0.21
19850320,0.44
19850321,0.26
19850322,-0.02
19850325,0.11
19850326,-0.05
19850327,-0.16
19850328,-0.05
19850329,-0.33
19850401,0.22
19850402,0.41
19850403,0.02
19850404,-0.07
19850408,0.17
19850409,0.17
19850410,0.21
19850411,0.28
19850412,0.09
19850415,0.01
19850416,0.02
19850417,0.09
19850418,0.49
19850419,0.15
19850422,0.42
19850423,0.26
19850424,0.26
19850425,-0.03
19850426,0.17
19850429,0.07
