date,Mkt-RF,SMB,HML,RF,MOM
19261103,0.2,-0.22,-0.29,0.013,0.56
19261104,0.59,-0.14,0.7,0.013,-0.5
19261105,0.07,-0.08,0.25,0.013,1.17
19261106,0.16,-0.29,0.05,0.013,-0.03
19261108,0.52,-0.07,0.08,0.013,-0.01
19261109,0.13,0.29,-0.54,0.013,0.13
19261110,-0.6,0.14,0.09,0.013,0.28
19261111,0.67,0.01,0.08,0.013,-0.94
19261112,0.24,0.05,-0.41,0.013,-0.34
19261113,-0.24,0.1,-0.16,0.013,0.41
19261115,0.37,0.26,-0.22,0.013,0
19261116,0.15,-0.29,-0.07,0.013,-0.07
19261117,-0.35,-0.33,0.45,0.013,0.12
19261118,-0.48,0.13,0.26,0.013,0.57
19261119,-0.64,0.6,0.02,0.013,0.19
19261120,0.4,-0.01,0.15,0.013,-0.35
19261122,0.57,0.16,-0.22,0.013,-0.11
19261123,0.33,0.03,0.18,0.013,0.54
19261124,0.08,-0.22,0.23,0.013,-0.42
19261126,0.2,0.01,0.01,0.013,-0.25
19261127,-0.15,-0.06,-0.26,0.013,0.46
19261129,-0.37,-0.13,0.06,0.013,-0.09
19261130,0.26,0.02,-0.48,0.013,0.16
19261201,0.36,0.05,-0.34,0.011,-0.01
19261202,0.51,-0.02,0.09,0.011,-0.05
19261203,0.32,0.05,-0.04,0.011,-0.59
19261204,-0.17,0.19,0.11,0.011,0.08
19261206,0.04,0.3,-0.34,0.011,0.2
19261207,-0.04,0.34,-0.5,0.011,0.28
19261208,-0.08,0.21,0.25,0.011,0.19
19261209,0.45,-0.13,0.44,0.011,-0.52
19261210,0.35,-0.16,0.49,0.011,0
19261211,0.09,-0.1,-0.5,0.011,-0.48
19261213,0.42,0.62,0.03,0.011,-0.72
19261214,0.1,-0.09,0.15,0.011,0.6
19261215,0.17,-0.2,0.18,0.011,-0.32
19261216,-0.63,-0.21,0.07,0.011,-0.01
19261217,0.91,-0.75,0.71,0.011,0.13
