date,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG,MOM
196701,0.3927,8.1852,6.8284,-2.9677,1.9193,-2.1769,-6.93
196702,0.3743,0.7557,1.6496,-0.227,3.5395,2.2211,3.52
196703,0.3693,4.0169,2.0026,-1.7789,1.8417,-1.036,1.53
196704,0.3344,3.8786,-0.6898,-2.8756,1.0583,-1.7259,0.59
196705,0.3126,-4.2807,2.8469,2.5239,0.6917,0.1578,0.72
196706,0.2674,2.4199,6.2394,-2.1203,0.3089,-0.4236,6
196707,0.3153,4.5784,3.0386,2.3556,-0.6775,-0.1323,-1.03
196708,0.324,-0.9048,0.3083,1.7679,-0.6249,0.0961,-1.38
196709,0.3177,3.1074,1.723,-0.3387,0.6802,-0.6582,2.52
196710,0.3649,-3.0516,0.7527,-2.3566,3.1968,0.155,3.67
196711,0.3416,0.3764,0.1514,-2.8065,0.7622,0.2299,1.26
196712,0.3565,3.0233,4.5645,0.2695,0.8002,1.5529,3.25
196801,0.3934,-4.0257,5.3224,4.6808,-2.779,1.261,-4.7
196802,0.3849,-3.7294,-1.6021,2.7082,-0.3612,3.399,-3.43
196803,0.3977,0.188,-2.2336,-1.1412,1.6766,1.1834,3.23
196804,0.4263,9.0295,5.3736,-2.5654,3.6574,-1.812,5.09
196805,0.4672,2.2564,6.663,-2.3027,1.9679,-0.3505,3.8
196806,0.4436,0.6745,-0.4609,2.466,-0.3919,-0.0436,-1.9
196807,0.479,-2.6869,-1.1798,2.7648,-2.0599,3.3483,-0.88
196808,0.4476,1.3272,2.2095,0.5377,-0.637,1.6268,1.89
196809,0.4203,4.0566,1.4401,-0.5988,-3.4599,-1.2098,-0.65
196810,0.4394,0.4255,-0.6893,2.6592,0.53,2.5195,-1.46
196811,0.4457,5.4064,2.7772,-1.4016,-0.4025,-0.9356,1.75
196812,0.4249,-3.9304,3.148,2.5763,-0.794,-0.8697,-0.01
196901,0.5025,-1.2301,-0.3155,1.1579,-0.0419,0.479,-0.17
196902,0.4619,-5.8496,-3.8811,0.8695,1.0745,2.3558,-2.36
196903,0.4802,2.66,-0.2917,0.421,1.8681,2.4981,3.97
196904,0.4859,1.5003,-0.1735,0.5309,1.9447,-0.1946,1.13
196905,0.5215,-0.1257,0.3506,1.3994,-0.0812,-0.0395,1.7
196906,0.5137,-7.1923,-4.7278,-0.5881,3.3657,2.4771,-2.3
196907,0.552,-7.0331,-2.8932,2.0773,2.0931,3.4183,1.7
196908,0.589,4.6007,0.9935,-2.6235,0.3624,-2.0509,2.17
196909,0.5856,-2.9387,0.7049,0.0549,2.0371,2.7913,2.52
196910,0.5724,5.081,2.8468,-1.4489,-1.0344,-1.1314,-4.31
196911,0.5509,-3.8235,-2.0233,0.2104,2.7382,2.283,3.66
196912,0.5846,-2.5834,-3.6195,-0.5031,3.6744,1.7189,4.96
197001,0.5781,-8.0676,3.4625,3.4052,-1.2607,3.2798,0.6
197002,0.6167,5.0779,-2.4815,1.7716,-2.067,0.1127,0.23
197003,0.5542,-1.0373,-1.314,3.3133,-0.8944,2.9901,-0.36
197004,0.5286,-11.0383,-4.6397,5.1447,0.3396,5.7065,-0.77
197005,0.5546,-6.9458,-3.2371,3.1395,0.2382,3.6207,-2.78
197006,0.5546,-5.7634,-1.8945,3.6627,2.5647,3.894,5.7
197007,0.4886,6.9503,-0.4326,2.5463,-0.8376,-1.1825,-3.14
197008,0.502,4.5098,0.636,-0.8656,-3.3301,-2.0775,-6.55
197009,0.5034,4.2154,7.1519,-4.5667,-1.3398,-5.5031,-8.8
197010,0.4954,-2.3108,-3.1779,2.9508,5.4955,3.9498,9.42
197011,0.4489,4.6032,-3.6529,0.7995,0.706,2.1987,2.73
197012,0.3786,5.7758,2.7302,0.2507,-1.0452,-0.3328,-2.23
197101,0.3777,4.8376,6.8382,-0.2396,-4.2031,-3.1846,-6.51
197102,0.3344,1.3927,1.4505,0.6378,2.4361,0.7462,0.79
197103,0.2924,4.1315,2.615,-1.9561,1.9067,-0.3496,-1.41
197104,0.2804,3.1513,-0.281,1.3068,-1.1773,-0.8788,1.41
197105,0.3127,-4.0032,-1.4699,0.8408,1.416,0.8228,0.86
197106,0.3505,-0.069,-0.6748,-0.7045,4.3422,2.3488,2.73
197107,0.4272,-4.5182,0.189,2.3804,2.4069,0.6396,-2.37
197108,0.4446,3.8106,-2.3059,1.4933,-3.3425,-0.0684,3.61
197109,0.363,-0.8462,0.349,0.0641,2.7781,1.2708,2.12
197110,0.3855,-4.4382,-1.2175,-0.8412,1.8165,2.5146,0.47
197111,0.3506,-0.44,-2.7012,-0.2227,1.6931,1.5323,1.51
197112,0.3152,8.7371,2.6944,-2.0412,-1.4985,-1.5598,-0.58
197201,0.285,2.4876,6.705,0.1588,-6.5071,1.966,0.17
197202,0.2659,2.8485,0.459,1.993,1.0478,-0.347,2.54
197203,0.259,0.6398,-1.0197,1.8392,2.1095,1.597,2.94
197204,0.2962,0.2728,0.2422,0.2396,0.7439,0.2792,2.81
197205,0.2942,1.2622,-2.5367,-1.502,2.069,1.2874,3.29
197206,0.28,-2.4172,0.4274,0.0268,3.5905,1.5513,1.9
197207,0.3084,-0.8379,-1.9759,-0.3928,2.1012,3.2058,2.7
197208,0.2988,3.2486,-3.5252,3.5408,-1.5054,0.5063,-5.4
197209,0.3546,-1.1495,-1.0696,-1.1251,2.1088,0.4612,1.82
197210,0.3891,0.5271,-3.1006,-0.5007,-0.4427,0.6599,0.71
197211,0.3739,4.5932,-0.9835,2.5964,-4.1062,0.6969,-5.09
197212,0.4185,0.5727,-1.7774,-1.3503,3.1279,1.8048,4.92
197301,0.441,-3.2918,-2.3772,0.3555,-0.3811,3.3322,3.73
197302,0.4277,-4.8635,-4.4782,0.1066,-1.0371,1.522,2.16
197303,0.475,-1.3432,-1.6855,0.5066,-1.9078,3.21,3.59
197304,0.5002,-5.6576,-2.9136,3.1132,-0.5363,4.0693,6.36
197305,0.5098,-2.9549,-5.6948,-0.4114,1.6027,1.5846,7.14
197306,0.5379,-1.59,-1.2209,0.4364,-0.1103,2.8658,4.3
197307,0.654,5.0256,7.9616,-5.7477,1.1376,-4.2331,-11.57
197308,0.6855,-3.8069,-1.9392,1.6985,1.4899,1.4525,3.46
197309,0.6749,4.7527,5.7352,2.1956,-1.3047,-1.5413,-7
197310,0.6856,-0.8621,-1.2115,2.6182,0.4903,4.0646,6.87
197311,0.5529,-12.7439,-7.4553,1.9573,-1.1296,2.074,8.66
197312,0.6961,0.6667,-4.5308,2.5183,3.6506,4.6139,10.38
197401,0.6274,-0.1624,11.5564,2.1051,-4.8138,-0.5604,-8.85
197402,0.5819,-0.4736,-0.5191,2.1209,-1.0446,1.4503,0.32
197403,0.5677,-2.8245,1.8373,-0.0555,1.8113,1.1626,-1.05
197404,0.7949,-5.331,-0.4765,2.3752,2.2129,2.5414,2.11
197405,0.7235,-4.6599,-4.0947,-0.3302,2.2782,0.2895,-0.39
197406,0.6892,-2.9154,0.2691,1.5998,1.5496,2.1438,2.31
197407,0.6756,-8.0181,3.5437,4.4292,2.5567,5.6777,3.09
197408,0.594,-9.3439,2.2185,3.1493,2.9559,4.8505,3
197409,0.7997,-11.7639,2.0304,4.8696,-2.2994,3.3901,4.24
197410,0.5254,16.0666,-5.9413,-1.5064,8.8862,1.0374,-0.54
197411,0.5139,-4.4797,-0.8166,2.5432,1.7201,1.3758,2.14
197412,0.7009,-3.4488,-3.8364,2.1589,0.4744,2.046,2.92
197501,0.5387,13.7056,12.447,-0.5177,-11.6181,-5.404,-13.82
197502,0.4326,5.557,-1.3808,-1.6716,3.6046,0.6132,-0.6
197503,0.4014,2.6678,3.3168,-0.6366,-1.7338,-1.7983,-2.04
197504,0.4489,4.2101,-1.3681,-0.0429,3.3684,2.3097,1.38
197505,0.4869,5.141,3.2742,-0.1207,-0.2673,-0.0167,-0.58
197506,0.4133,4.8545,1.6189,0.3474,-1.5818,-0.6513,0.02
197507,0.4811,-6.5874,2.9693,1.4388,-1.3503,1.7009,0.45
197508,0.4815,-2.8504,-3.2098,-0.1799,0.6885,1.3638,-0.1
197509,0.5575,-4.291,0.6336,1.3519,1.6797,3.3382,0.41
197510,0.5185,5.3413,-4.4872,3.0056,2.6814,2.567,-0.16
197511,0.4127,2.6414,-0.4781,1.5715,0.6636,1.5634,-0.45
197512,0.4983,-1.6279,0.2829,-0.0397,-2.2506,0.4767,-0.11
197601,0.4402,12.1728,6.7749,1.4885,-2.6663,0.8707,4.45
197602,0.3452,0.3125,6.9275,2.1577,-3.7503,0.8706,0.38
197603,0.4344,2.285,-0.4217,1.7157,2.4346,1.6181,0.15
197604,0.444,-1.5107,-0.5645,-0.7475,-0.3256,0.0357,0.59
197605,0.4124,-1.3767,-1.2464,-0.9763,0.5098,0.3295,-1.12
197606,0.4446,4.0397,0.0617,1.3378,-0.0551,0.9442,-0.42
197607,0.439,-1.0325,1.1703,0.9278,0.7571,1.6276,-0.13
197608,0.4745,-0.6094,-2.0631,-0.618,-0.0043,0.5722,-0.85
197609,0.3924,2.1069,-0.2294,-1.4035,1.1188,0.9964,0.22
197610,0.4092,-2.4233,0.711,-1.1201,0.3243,-0.4868,-0.44
197611,0.444,0.309,3.4568,-0.2689,-0.4753,0.1493,2.89
197612,0.3579,5.6964,3.3012,1.8221,-1.1085,1.0763,0.73
197701,0.3594,-4.0293,6.018,0.99,-2.1441,1.6761,4.01
197702,0.3499,-1.9367,1.0765,0.1256,1.2463,0.4082,0.36
197703,0.3769,-1.3687,1.4446,-0.1641,0.3317,-0.3667,0.55
197704,0.4114,0.114,1.2502,1.2008,0.394,0.7442,4.21
197705,0.3855,-1.4659,1.4996,0.2077,1.7533,2.7093,2.03
197706,0.3716,4.739,3.0932,-0.7021,2.3262,2.9305,1.66
197707,0.3873,-1.6568,1.0074,1.0332,1.7145,2.3918,0.36
197708,0.4993,-1.8072,-0.2586,-0.9021,1.3871,-0.0814,-1.7
197709,0.433,-0.2699,1.4255,-0.0303,1.387,1.5197,2
197710,0.4943,-4.3844,1.4066,-0.5693,-1.0036,1.1235,-0.08
197711,0.4959,3.999,4.5653,1.232,2.5707,1.4899,2.01
197712,0.47,0.2831,1.4645,0.0767,1.2335,1.8089,1.58
197801,0.5374,-6.0475,2.2856,0.9892,-1.6999,0.2845,-0.66
197802,0.4941,-1.4121,4.0873,1.3223,0.0683,1.67,1.97
197803,0.5017,2.8714,3.3652,2.5273,0.0172,0.143,1.37
197804,0.5712,7.826,-0.0824,-0.3498,5.5164,0.556,0.86
197805,0.5317,1.7363,3.6659,0.9017,0.5084,0.5451,2.83
197806,0.5369,-1.6883,1.4101,0.4806,1.4368,1.2015,2.75
197807,0.5591,5.102,0.1973,0.2897,1.8154,2.6592,4.18
197808,0.555,3.7437,4.7011,1.1571,1.9141,0.6506,2.83
197809,0.5964,-1.4063,-0.7308,0.2503,-3.5431,-0.844,-3.14
197810,0.7498,-11.9729,-10.9771,0.6056,-1.1491,0.9919,-8.46
197811,0.7041,2.7186,4.0453,-1.0503,1.2959,1.5463,5.47
197812,0.7372,0.9239,0.4939,-1.0899,2.6744,2.4851,3.03
197901,0.7882,4.2092,4.2959,1.6757,-1.2149,-1.3198,-1.36
197902,0.7324,-3.5587,0.3742,-0.4869,-2.391,0.471,-1.06
197903,0.8928,5.5859,3.8601,0.7803,2.3604,0.5342,2.93
197904,0.8489,-0.1153,2.3636,0.7971,1.8657,-0.2849,0.81
197905,0.8161,-2.2031,0.5023,-0.0713,-0.6288,0.4436,-0.54
197906,0.7858,3.8639,0.8737,-0.8834,-1.0448,-1.7343,0.84
197907,0.841,0.7485,1.2846,0.6496,0.5454,-0.6536,-1.07
197908,0.7506,5.5385,1.6195,-0.3274,2.9163,-0.0151,-0.21
197909,0.7732,-0.7533,-0.0861,-0.135,0.6865,2.8441,5.28
197910,0.9621,-8.1786,-3.1784,0.0298,0.9917,1.6684,2.01
197911,0.9878,5.2074,2.1556,-2.5351,2.2845,-0.3745,8.14
197912,1.0209,1.7155,3.9693,-1.1101,1.234,-0.1797,4.78
